Pin,Type,Type
E1,power_in,PWR_SRC
E3,gnd,GND
1,power_in,5V
3,power_in,5V
5,power_in,5V
7,power_in,5V
9,power_in,5V
11,gnd,GND
13,gnd,GND
15,gnd,GND
17,gnd,GND
19,input,PEX_STD_SW#
21,input,VGA_DISABLE#
23,output,PNL_PWR_EN
25,output,PNL_BL_EN
27,output,PNL_BL_PWM
29,bidirectional,HDMI_CEC
31,input,DVI_HPD
33,biridectional,LVDS_DDC_DAT
35,clk,LVDS_DDC_CLK
37,pwr,GND
39,nc,OEM
41,nc,OEM
43,nc,OEM
45,nc,OEM
47,gnd,GND
49,in,PEX_RX15#
51,in,PEX_RX15
53,gnd,GND
55,in,PEX_RX14#
57,in,PEX_RX14
59,gnd,GND
61,in,PEX_RX13#
63,in,PEX_RX13
65,gnd,GND
67,in,PEX_RX12#
69,in,PEX_RX12
71,gnd,GND
73,in,PEX_RX11#
75,in,PEX_RX11
77,gnd,GND
79,in,PEX_RX10#
81,in,PEX_RX10
83,gnd,GND
85,in,PEX_RX9#
87,in,PEX_RX9
89,gnd,GND
91,in,PEX_RX8#
93,in,PEX_RX8
95,gnd,GND
97,in,PEX_RX7#
99,in,PEX_RX7
101,gnd,GND
103,in,PEX_RX6#
105,in,PEX_RX6
107,gnd,GND
109,in,PEX_RX5#
111,in,PEX_RX5
113,gnd,GND
115,in,PEX_RX4#
117,in,PEX_RX4
119,gnd,GND
121,in,PEX_RX3#
123,in,PEX_RX3
125,gnd,GND
,,
127,nc,KEY
129,nc,KEY
131,nc,KEY
,,
133,gnd,GND
135,in,PEX_RX2#
137,in,PEX_RX2
139,gnd,GND
141,in,PEX_RX1#
143,in,PEX_RX1
145,gnd,GND
147,in,PEX_RX0#
149,in,PEX_RX0
151,gnd,GND
153,clk,PEX_REFCLK#
155,clk,PEX_REFCLK
157,gnd,GND
159,nc,RSVD
161,nc,RSVD
163,nc,RSVD
165,nc,RSVD
167,nc,RSVD
169,clk,LVDS_UCLK#
171,clk,LVDS_UCLK
173,gnd,GND
175,out,LVDS_UTX3#
177,out,LVDS_UTX3
179,gnd,GND
181,out,LVDS_UTX2#
183,out,LVDS_UTX2
185,gnd,GND
187,out,LVDS_UTX1#
189,out,LVDS_UTX1
191,gnd,GND
193,out,LVDS_UTX0#
195,out,LVDS_UTX0
197,gnd,GND
199,out,DP_C_L0#
201,out,DP_C_L0
203,gnd,GND
205,out,DP_C_L1#
207,out,DP_C_L1
209,gnd,GND
211,out,DP_C_L2#
213,out,DP_C_L2
215,gnd,GND
217,out,DP_C_L3#
219,out,DP_C_L3
221,gnd,GND
223,out,DP_C_AUX#
225,out,DP_C_AUX
227,nc,RSVD
229,nc,RSVD
231,nc,RSVD
233,nc,RSVD
235,nc,RSVD
237,nc,RSVD
239,nc,RSVD
241,nc,RSVD
243,nc,RSVD
245,nc,RSVD
247,nc,RSVD
249,nc,RSVD
251,gnd,GND
253,output,DP_A_L0#
255,output,DP_A_L0
257,gnd,GND
259,output,DP_A_L1#
261,output,DP_A_L1
263,gnd,GND
265,output,DP_A_L2#
267,output,DP_A_L2
269,gnd,GND
271,output,DP_A_L3#
273,output,DP_A_L3
275,gnd,GND
277,output,DP_A_AUX#
279,output,DP_A_AUX
281,pass,PRSNT_L#